Batch Size per GPU: 1
Total trianing steps: 69600
TR, GPU ID : 6, ST: 8, BN: 8, loss : 1.417205810546875, lr : 4.4999999999999996e-05
TR, GPU ID : 0, ST: 8, BN: 8, loss : 2.5347659587860107, lr : 4.4999999999999996e-05
TR, GPU ID : 2, ST: 8, BN: 8, loss : 2.0659234523773193, lr : 4.4999999999999996e-05
TR, GPU ID : 1, ST: 8, BN: 8, loss : 2.8544723987579346, lr : 4.4999999999999996e-05
TR, GPU ID : 3, ST: 8, BN: 8, loss : 1.3846851587295532, lr : 4.4999999999999996e-05
TR, GPU ID : 4, ST: 9, BN: 9, loss : 1.1455087661743164, lr : 5e-05
TR, GPU ID : 7, ST: 9, BN: 9, loss : 2.4285671710968018, lr : 5e-05
TR, GPU ID : 5, ST: 9, BN: 9, loss : 1.4412537813186646, lr : 5e-05
TR, GPU ID : 0, ST: 9, BN: 9, loss : 2.501802444458008, lr : 5e-05
TR, GPU ID : 1, ST: 9, BN: 9, loss : 1.9932812452316284, lr : 5e-05
TR, GPU ID : 2, ST: 9, BN: 9, loss : 3.696927785873413, lr : 5e-05
TR, GPU ID : 3, ST: 9, BN: 9, loss : 1.5556522607803345, lr : 5e-05
TR, GPU ID : 6, ST: 9, BN: 9, loss : 1.8313614130020142, lr : 5e-05
TR, GPU ID : 4, ST: 10, BN: 10, loss : 1.2835272550582886, lr : 5.4999999999999995e-05
TR, GPU ID : 3, ST: 10, BN: 10, loss : 2.5699493885040283, lr : 5.4999999999999995e-05
TR, GPU ID : 1, ST: 10, BN: 10, loss : 2.1158721446990967, lr : 5.4999999999999995e-05
TR, GPU ID : 2, ST: 10, BN: 10, loss : 1.9220470190048218, lr : 5.4999999999999995e-05
TR, GPU ID : 5, ST: 10, BN: 10, loss : 3.0876007080078125, lr : 5.4999999999999995e-05
TR, GPU ID : 7, ST: 10, BN: 10, loss : 2.5178511142730713, lr : 5.4999999999999995e-05
TR, GPU ID : 6, ST: 10, BN: 10, loss : 2.09903883934021, lr : 5.4999999999999995e-05
TR, GPU ID : 0, ST: 10, BN: 10, loss : 1.8758258819580078, lr : 5.4999999999999995e-05
TR, GPU ID : 4, ST: 11, BN: 11, loss : 2.8309009075164795, lr : 6e-05
TR, GPU ID : 5, ST: 11, BN: 11, loss : 2.631058931350708, lr : 6e-05
TR, GPU ID : 7, ST: 11, BN: 11, loss : 2.694246292114258, lr : 6e-05
TR, GPU ID : 6, ST: 11, BN: 11, loss : 1.1913102865219116, lr : 6e-05
TR, GPU ID : 1, ST: 11, BN: 11, loss : 2.194040536880493, lr : 6e-05
TR, GPU ID : 3, ST: 11, BN: 11, loss : 2.7156975269317627, lr : 6e-05
TR, GPU ID : 2, ST: 11, BN: 11, loss : 1.967837929725647, lr : 6e-05
TR, GPU ID : 0, ST: 11, BN: 11, loss : 2.051326036453247, lr : 6e-05
TR, GPU ID : 7, ST: 12, BN: 12, loss : 2.7145702838897705, lr : 6.5e-05
TR, GPU ID : 4, ST: 12, BN: 12, loss : 2.218721628189087, lr : 6.5e-05
TR, GPU ID : 5, ST: 12, BN: 12, loss : 2.769634246826172, lr : 6.5e-05
TR, GPU ID : 6, ST: 12, BN: 12, loss : 2.5582902431488037, lr : 6.5e-05
TR, GPU ID : 1, ST: 12, BN: 12, loss : 1.1397567987442017, lr : 6.5e-05
TR, GPU ID : 0, ST: 12, BN: 12, loss : 2.076892375946045, lr : 6.5e-05
TR, GPU ID : 2, ST: 12, BN: 12, loss : 2.0017735958099365, lr : 6.5e-05
TR, GPU ID : 3, ST: 12, BN: 12, loss : 2.241489887237549, lr : 6.5e-05
TR, GPU ID : 7, ST: 13, BN: 13, loss : 2.933570146560669, lr : 7.000000000000001e-05
TR, GPU ID : 6, ST: 13, BN: 13, loss : 1.9137688875198364, lr : 7.000000000000001e-05
TR, GPU ID : 4, ST: 13, BN: 13, loss : 2.9659903049468994, lr : 7.000000000000001e-05
TR, GPU ID : 5, ST: 13, BN: 13, loss : 1.560813307762146, lr : 7.000000000000001e-05
TR, GPU ID : 1, ST: 13, BN: 13, loss : 2.9012250900268555, lr : 7.000000000000001e-05
TR, GPU ID : 0, ST: 13, BN: 13, loss : 1.8015896081924438, lr : 7.000000000000001e-05
TR, GPU ID : 2, ST: 13, BN: 13, loss : 2.5103042125701904, lr : 7.000000000000001e-05
TR, GPU ID : 3, ST: 13, BN: 13, loss : 2.903660535812378, lr : 7.000000000000001e-05
TR, GPU ID : 7, ST: 14, BN: 14, loss : 1.5584813356399536, lr : 7.5e-05
TR, GPU ID : 4, ST: 14, BN: 14, loss : 2.460279941558838, lr : 7.5e-05
TR, GPU ID : 6, ST: 14, BN: 14, loss : 3.6457245349884033, lr : 7.5e-05
TR, GPU ID : 5, ST: 14, BN: 14, loss : 2.219714879989624, lr : 7.5e-05
TR, GPU ID : 1, ST: 14, BN: 14, loss : 1.6501470804214478, lr : 7.5e-05
TR, GPU ID : 0, ST: 14, BN: 14, loss : 2.761455774307251, lr : 7.5e-05
TR, GPU ID : 3, ST: 14, BN: 14, loss : 1.2324532270431519, lr : 7.5e-05
TR, GPU ID : 2, ST: 14, BN: 14, loss : 2.8613643646240234, lr : 7.5e-05
TR, GPU ID : 7, ST: 15, BN: 15, loss : 1.6565371751785278, lr : 8e-05
TR, GPU ID : 5, ST: 15, BN: 15, loss : 1.4366482496261597, lr : 8e-05
TR, GPU ID : 6, ST: 15, BN: 15, loss : 2.1026885509490967, lr : 8e-05
TR, GPU ID : 0, ST: 15, BN: 15, loss : 1.8969521522521973, lr : 8e-05
TR, GPU ID : 2, ST: 15, BN: 15, loss : 1.1193164587020874, lr : 8e-05
TR, GPU ID : 4, ST: 15, BN: 15, loss : 2.2265591621398926, lr : 8e-05
TR, GPU ID : 3, ST: 15, BN: 15, loss : 3.1164321899414062, lr : 8e-05
TR, GPU ID : 1, ST: 15, BN: 15, loss : 1.527407169342041, lr : 8e-05
TR, GPU ID : 7, ST: 16, BN: 16, loss : 1.9762288331985474, lr : 8.5e-05
TR, GPU ID : 4, ST: 16, BN: 16, loss : 3.7308731079101562, lr : 8.5e-05
TR, GPU ID : 5, ST: 16, BN: 16, loss : 2.4746129512786865, lr : 8.5e-05
TR, GPU ID : 6, ST: 16, BN: 16, loss : 2.508878231048584, lr : 8.5e-05
TR, GPU ID : 0, ST: 16, BN: 16, loss : 2.716707944869995, lr : 8.5e-05
TR, GPU ID : 2, ST: 16, BN: 16, loss : 2.1001768112182617, lr : 8.5e-05
TR, GPU ID : 1, ST: 16, BN: 16, loss : 2.4285495281219482, lr : 8.5e-05
TR, GPU ID : 3, ST: 16, BN: 16, loss : 2.4254658222198486, lr : 8.5e-05
TR, GPU ID : 4, ST: 17, BN: 17, loss : 1.5536279678344727, lr : 8.999999999999999e-05
TR, GPU ID : 3, ST: 17, BN: 17, loss : 1.9306448698043823, lr : 8.999999999999999e-05
TR, GPU ID : 5, ST: 17, BN: 17, loss : 2.083725690841675, lr : 8.999999999999999e-05
TR, GPU ID : 2, ST: 17, BN: 17, loss : 1.8089157342910767, lr : 8.999999999999999e-05
TR, GPU ID : 7, ST: 17, BN: 17, loss : 2.354356527328491, lr : 8.999999999999999e-05
